Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,95072414,8.392242699,10.80,26881541,492085,27373626
2,95172660,2.384868380,38.05,31085080,492416,31577496
3,95633624,2.682979019,33.99,38631841,492642,39124483
4,95710717,2.147922065,42.49,43289282,491611,43780893
5,95767418,2.232535705,40.90,47276033,492291,47768324
6,95874517,2.440854514,37.45,54134921,492975,54627896
7,96031005,1.728031604,52.99,56421361,493369,56914730
8,96073810,1.879848977,48.73,60713692,493691,61207383
9,96156132,1.091520346,84.01,61369305,494013,61863318
10,96181716,1.122452476,81.71,62058630,494434,62553064
11,96225095,1.209053340,75.89,62894142,494846,63388988
12,96280016,1.493585799,61.46,63871121,495170,64366291
13,96295453,1.117876930,82.14,64352402,495582,64847984
14,96159344,1.097130652,83.58,64997331,495906,65493237
15,96211395,1.101592023,83.28,65592190,496230,66088420
16,97419644,5.633269268,16.49,80323265,515948,80839213
17,92656128,4.643414107,19.02,91821999,496398,92318397
18,92958211,2.919624057,30.36,98338665,497625,98836290
19,93342477,2.243607183,39.67,102050435,499552,102549987
20,93684968,2.407468744,37.10,106085929,501091,106587020
21,93855134,2.478525936,36.11,110264022,502354,110766376
22,94105945,2.781865358,32.25,114853974,503774,115357748
23,94494954,2.632791275,34.22,119542438,514955,120057393
24,94930340,3.191997293,28.36,124417834,517437,124935271
25,96567704,2.159263999,42.64,127594169,517945,128112114
26,96574342,1.123701032,81.96,128070252,518269,128588521
27,96788905,2.268389797,40.68,131283106,519186,131802292
28,97165615,1.609635769,57.56,134609975,519502,135129477
29,97252200,1.572006424,58.99,136318699,519899,136838598
30,97352699,1.348117218,68.86,137327574,519068,137846642
31,97692230,2.923150921,31.86,142663519,520280,143183799
32,97920212,2.073597939,45.03,145787565,520900,146308465
33,97974831,2.423690772,38.54,148587510,521224,149108734
34,98288476,2.657412508,35.27,155302091,522101,155824192
35,98417569,3.328994676,28.19,163179310,522785,163702095
36,98524809,2.475516053,37.95,167588462,526781,168115243
37,98718707,2.596302317,36.25,172512501,530675,173043176
38,98939219,3.761515499,25.08,180271541,531365,180802906
39,99175341,2.821637206,33.51,185213926,532332,185746258
40,99235132,1.303240752,72.61,186275793,532656,186808449
41,99245708,1.135453822,83.34,186604895,533068,187137963
42,99616951,1.198733434,79.25,187251160,533392,187784552
43,99673755,1.130310859,84.09,187856570,533716,188390286
44,102067239,5.817702383,16.72,202999084,522434,203521518
45,97037979,4.368234686,21.18,211233436,514335,211747771
46,96139199,2.841141871,32.26,216038998,506691,216545689
47,96531666,2.898110577,31.76,220873076,509726,221382802
48,96497220,2.446332868,37.61,225008585,508082,225516667
49,96781557,2.695448451,34.23,230287343,510220,230797563
50,97038998,2.534219965,36.51,234358190,512328,234870518
51,97356817,2.547413927,36.44,238356017,514692,238870709
52,98422334,3.458389824,27.13,244315110,507265,244822375
53,101214785,1.971778985,48.95,246859947,507782,247367729
54,101296041,1.739941947,55.51,248875215,508010,249383225
55,101368542,1.770117765,54.61,250871639,508230,251379869
56,101544694,2.264332071,42.76,287916736,607567,288524303
57,101976969,1.895472135,51.30,66272193,513165,66785358
58,102038483,1.161996695,83.74,66671036,513481,67184517
59,102561389,3.313649950,29.51,72782136,520009,73302145
60,102867616,2.967703641,33.05,78424029,520845,78944874
61,103124716,3.017326293,32.59,83926681,522225,84448906
62,103346421,3.226448001,30.54,91010967,523407,91534374
63,103267224,3.159672928,31.16,98884600,525984,99410584
64,103390545,2.218173774,44.45,102665194,526500,103191694
65,103417233,2.316882620,42.56,106369213,527061,106896274
66,103681907,3.043305816,32.48,112982021,529973,113511994
67,103841211,2.209879215,44.81,116484134,531476,117015610
68,103676757,2.575496487,38.38,122188943,533556,122722499
69,103733404,1.138791100,86.86,122723742,533880,123257622
70,107877248,6.219929577,16.53,139434846,553944,139988790
71,98847116,4.937195344,19.09,149673714,504365,150178079
72,99179394,3.451978809,27.39,156571891,520301,157092192
73,99741606,4.026510353,23.62,166303564,526260,166829824
74,100710465,3.530875614,27.20,173081083,531517,173612600
75,101483591,3.190790375,30.33,179190211,536680,179726891
76,102083723,3.142510483,30.97,184796789,543148,185339937
77,103291730,3.679398676,26.77,191713855,551130,192264985
78,103535601,2.867938175,34.42,197001629,553224,197554853
79,103459036,2.403574541,41.04,201951652,554521,202506173
80,103661012,2.042893014,48.38,205129608,555237,205684845
81,103699369,2.026773825,48.79,207949880,557494,208507374
82,106364240,1.987590134,51.03,210310576,559023,210869599
83,107868656,1.589759517,64.70,210694150,556820,211250970
84,108379556,3.194911554,32.34,216678863,562007,217240870
85,108594291,2.503413228,41.36,220843991,563652,221407643
86,108507728,2.880323106,35.92,225827581,566514,226394095
87,108746225,3.137148730,33.05,232398019,567822,232965841
88,108906551,1.504502696,69.03,234928207,568146,235496353
89,107076340,5.105552732,19.99,245419125,561195,245980320
90,107699111,3.916552525,26.22,252029726,568664,252598390
91,108084637,3.018185778,34.14,257478862,570104,258048966
92,108444974,2.944239909,35.12,262601730,571236,263172966
93,108792788,3.839708414,27.02,269463741,573850,270037591
94,109684831,3.625627963,28.85,276333060,577669,276910729
95,110100244,3.798488105,27.63,283584931,581608,284166539
96,111923245,4.136022068,25.80,292236307,588018,292824325
97,114880713,3.126543044,35.03,297881356,589347,298470703
98,115263816,2.707928712,40.59,302120404,590415,302710819
99,115332134,2.594494978,42.38,306345278,591520,306936798
100,115475785,2.524472785,43.62,310061724,592560,310654284
