Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,95072414,5.332633573,17.00,27017233,492181,27509414
2,95172660,1.969767241,46.07,31221788,492512,31714300
3,95633624,2.153163915,42.35,38769577,492738,39262315
4,95710717,1.692233259,53.93,43452998,491707,43944705
5,95767418,1.810643466,50.44,47439749,492387,47932136
6,95874517,1.995427865,45.81,54324656,493071,54817727
7,96031005,1.442607862,63.48,56611673,493465,57105138
8,96073810,1.577157403,58.09,60904004,493787,61397791
9,96156132,.983082712,93.27,61560935,494109,62055044
10,96181716,.998802976,91.82,62250260,494530,62744790
11,96225095,1.109356464,82.71,63085800,494942,63580742
12,96280016,1.091888069,84.08,64062779,495266,64558045
13,96295453,.919761434,99.84,64544060,495678,65039738
14,96159344,1.043577397,87.87,65188989,496002,65684991
15,96211395,.965748146,95.00,65783848,496326,66280174
16,97419644,4.380994039,21.20,80530238,516044,81046282
17,92656128,3.599753084,24.54,92032744,496494,92529238
18,92958211,2.315696547,38.28,98577651,497721,99075372
19,93342477,1.851492248,48.07,102315962,499648,102815610
20,93684968,1.936402132,46.13,106353507,501187,106854694
21,93855134,2.059876868,43.44,110533648,502450,111036098
22,94105945,2.126761422,42.19,115151020,503870,115654890
23,94494954,2.128673971,42.33,119841174,515051,120356225
24,94930340,2.277118819,39.75,124743981,517533,125261514
25,96567704,1.792824277,51.36,127947455,518041,128465496
26,96574342,.957583890,96.17,128423538,518365,128941903
27,96788905,1.849926986,49.89,131663663,519282,132182945
28,97165615,1.449171966,63.93,134990532,519598,135510130
29,97252200,1.394150488,66.52,136699256,519995,137219251
30,97352699,1.234340983,75.21,137708131,519164,138227295
31,97692230,2.301026820,40.48,143071307,520376,143591683
32,97920212,1.760245189,53.04,146223220,520996,146744216
33,97974831,1.602819502,58.29,149024800,521320,149546120
34,98288476,2.174201585,43.11,155739809,522197,156262006
35,98417569,2.431214401,38.60,163644240,522881,164167121
36,98524809,1.928333959,48.72,168055198,526877,168582075
37,98718707,2.057079237,45.76,173006801,530771,173537572
38,98939219,2.397993425,39.34,180798083,531461,181329544
39,99175341,2.138059515,44.23,185767891,532428,186300319
40,99235132,1.155068583,81.92,186829758,532752,187362510
41,99245708,.931917935,101.55,187158860,533164,187692024
42,99616951,1.057420819,89.84,187805125,533488,188338613
43,99673755,1.051990840,90.35,188410535,533812,188944347
44,102067239,4.568510944,21.30,203575874,522530,204098404
45,97037979,3.411166589,27.12,211848124,514431,212362555
46,96139199,2.263403137,40.50,216682597,506787,217189384
47,96531666,2.224257088,41.38,221544108,509822,222053930
48,96497220,1.946299144,47.27,225680899,508178,226189077
49,96781557,1.865438036,49.47,230985988,510316,231496304
50,97038998,1.965427985,47.08,235060260,512424,235572684
51,97356817,1.988979621,46.67,239058041,514788,239572829
52,98422334,2.626267955,35.73,245044292,519550,245563842
53,101214785,1.611397565,59.89,247614480,520026,248134506
54,101296041,1.452438792,66.50,249629748,520254,250150002
55,101368542,1.464060076,66.02,251626172,520474,252146646
56,101544694,1.838602913,52.67,254893021,521507,255414528
57,101976969,1.569980650,61.94,256709644,525430,257235074
58,102038483,1.095683671,88.81,257112583,525746,257638329
59,102561389,2.572526901,38.02,263249736,532274,263782010
60,102867616,2.363000464,41.51,268922026,533110,269455136
61,103124716,2.380861108,41.30,274455092,534490,274989582
62,103346421,2.608238736,37.78,281565003,535672,282100675
63,103267224,2.497069706,39.43,289467502,538249,290005751
64,103390545,1.768626868,55.74,293262251,538765,293801016
65,103417233,1.873185716,52.64,296991963,539326,297531289
66,103681907,2.257175915,43.80,303630658,542238,304172896
67,103841211,1.795624353,55.15,307158943,543741,307702684
68,103676757,2.057541942,48.05,312865686,545821,313411507
69,103733404,1.035636935,95.51,313400485,546145,313946630
70,107877248,4.921109571,20.90,330151051,566209,330717260
71,98847116,3.902042548,24.15,340411286,516630,340927916
72,99179394,2.745188552,34.45,347345840,532566,347878406
73,99741606,3.091308565,30.77,357105644,538525,357644169
74,100710465,2.731267336,35.16,363914145,543782,364457927
75,101483591,2.515461367,38.47,370053549,548945,370602494
76,102083723,2.447730299,39.77,375688895,555413,376244308
77,103291730,2.850671348,34.55,382634070,563395,383197465
78,103535601,2.397094383,41.18,387921844,565489,388487333
79,103459036,2.013312564,49.00,392900311,566786,393467097
80,103661012,1.771031911,55.81,396078267,567502,396645769
81,103699369,1.729514384,57.17,398908821,569759,399478580
82,106364240,1.738505205,58.34,401297528,571288,401868816
83,107868656,1.261831515,81.52,401681102,569085,402250187
84,108379556,2.575006802,40.13,407698410,574272,408272682
85,108594291,2.067013520,50.10,411892775,575917,412468692
86,108507728,2.294304910,45.10,416876365,578779,417455144
87,108746225,2.318897922,44.71,423450251,580087,424030338
88,108906551,1.396266165,74.38,426008476,580411,426588887
89,107076340,3.953391410,25.82,436508752,573460,437082212
90,107699111,2.751069753,37.33,443139776,580929,443720705
91,108084637,2.417191889,42.64,448614343,582369,449196712
92,108444974,2.343854673,44.12,453770400,583501,454353901
93,108792788,2.813218652,36.87,460670572,586115,461256687
94,109684831,2.811740258,37.20,467579109,589934,468169043
95,110100244,2.968764434,35.36,474879890,593873,475473763
96,111923245,3.277701665,32.56,483534739,600283,484135022
97,114880713,2.505695743,43.72,489219520,601612,489821132
98,115263816,2.155426610,50.99,493491868,602680,494094548
99,115332134,2.099907981,52.37,497747278,603785,498351063
100,115475785,2.015358737,54.64,501494388,604825,502099213
1,95072414,5.395204623,16.80,27017233,492181,27509414
2,95172660,1.885093147,48.14,31221788,492512,31714300
3,95633624,2.113520325,43.15,38769577,492738,39262315
4,95710717,1.625225525,56.15,43452998,491707,43944705
5,95767418,1.770457091,51.58,47439749,492387,47932136
6,95874517,1.945617899,46.99,54324656,493071,54817727
7,96031005,1.399937752,65.41,56611673,493465,57105138
8,96073810,1.545705355,59.27,60904004,493787,61397791
9,96156132,.962674495,95.25,61560935,494109,62055044
10,96181716,1.017130102,90.17,62250260,494530,62744790
11,96225095,1.054476523,87.01,63085800,494942,63580742
12,96280016,1.048430001,87.56,64062779,495266,64558045
13,96295453,.966470631,95.01,64544060,495678,65039738
14,96159344,.982984434,93.28,65188989,496002,65684991
15,96211395,.981176288,93.51,65783848,496326,66280174
16,97419644,4.359299222,21.31,80530238,516044,81046282
17,92656128,3.593998420,24.58,92032744,496494,92529238
18,92958211,2.276248678,38.94,98577651,497721,99075372
19,93342477,1.778522495,50.04,102315962,499648,102815610
20,93684968,1.899155802,47.04,106353507,501187,106854694
21,93855134,1.923367713,46.53,110533648,502450,111036098
22,94105945,2.073106441,43.28,115151020,503870,115654890
23,94494954,2.091708762,43.07,119841174,515051,120356225
24,94930340,2.214330661,40.88,124743981,517533,125261514
25,96567704,1.754966794,52.47,127947455,518041,128465496
26,96574342,.928366312,99.20,128423538,518365,128941903
27,96788905,1.813383362,50.89,131663663,519282,132182945
28,97165615,1.394197278,66.46,134990532,519598,135510130
29,97252200,1.379129552,67.24,136699256,519995,137219251
30,97352699,1.185467271,78.31,137708131,519164,138227295
31,97692230,2.303991201,40.43,143071307,520376,143591683
32,97920212,1.653268737,56.48,146223220,520996,146744216
33,97974831,1.552790472,60.16,149024800,521320,149546120
34,98288476,2.149310584,43.60,155739809,522197,156262006
35,98417569,2.415871488,38.84,163644240,522881,164167121
36,98524809,1.907257101,49.26,168055198,526877,168582075
37,98718707,2.065893848,45.56,173006801,530771,173537572
38,98939219,2.373176178,39.75,180798083,531461,181329544
39,99175341,2.104291697,44.94,185767891,532428,186300319
40,99235132,1.131073153,83.66,186829758,532752,187362510
41,99245708,.914383680,103.50,187158860,533164,187692024
42,99616951,1.032439707,92.01,187805125,533488,188338613
43,99673755,1.014309506,93.70,188410535,533812,188944347
44,102067239,4.600301302,21.15,203575874,522530,204098404
45,97037979,3.375235200,27.41,211848124,514431,212362555
46,96139199,2.152556281,42.59,216682597,506787,217189384
47,96531666,2.153296081,42.74,221544108,509822,222053930
48,96497220,1.919107508,47.94,225680899,508178,226189077
49,96781557,1.818707588,50.74,230985988,510316,231496304
50,97038998,1.945514579,47.56,235060260,512424,235572684
51,97356817,1.918648657,48.38,239058041,514788,239572829
52,98422334,2.596352957,36.15,245044292,519550,245563842
53,101214785,1.566382223,61.61,247614480,520026,248134506
54,101296041,1.441311573,67.02,249629748,520254,250150002
55,101368542,1.452049772,66.57,251626172,520474,252146646
56,101544694,1.793051763,54.00,254893021,521507,255414528
57,101976969,1.525875509,63.73,256709644,525430,257235074
58,102038483,1.035753772,93.95,257112583,525746,257638329
59,102561389,2.523378808,38.76,263249736,532274,263782010
60,102867616,2.328235241,42.13,268922026,533110,269455136
61,103124716,2.338839518,42.04,274455092,534490,274989582
62,103346421,2.600635242,37.89,281565003,535672,282100675
63,103267224,2.487860275,39.58,289467502,538249,290005751
64,103390545,1.776798959,55.49,293262251,538765,293801016
65,103417233,1.873220877,52.64,296991963,539326,297531289
66,103681907,2.248033493,43.98,303630658,542238,304172896
67,103841211,1.803079069,54.92,307158943,543741,307702684
68,103676757,2.023687928,48.85,312865686,545821,313411507
69,103733404,1.142537023,86.57,313400485,546145,313946630
70,107877248,4.874294260,21.10,330146955,566209,330713164
71,98847116,3.885268084,24.26,340411286,516630,340927916
72,99179394,2.761986688,34.24,347345840,532566,347878406
73,99741606,3.067911131,31.00,357105644,538525,357644169
74,100710465,2.682258967,35.80,363914145,543782,364457927
75,101483591,2.501230722,38.69,370053549,548945,370602494
76,102083723,2.442119425,39.86,375688895,555413,376244308
77,103291730,2.844440100,34.62,382634070,563395,383197465
78,103535601,2.340888771,42.17,387921844,565489,388487333
79,103459036,1.923562898,51.29,392900311,566786,393467097
80,103661012,1.740224585,56.80,396078267,567502,396645769
81,103699369,1.707433312,57.91,398908821,569759,399478580
82,106364240,1.715757900,59.11,401297528,571288,401868816
83,107868656,1.219756381,84.33,401681102,569085,402250187
84,108379556,2.566625816,40.26,407698410,574272,408272682
85,108594291,2.042061711,50.71,411892775,575917,412468692
86,108507728,2.286080560,45.26,416876365,578779,417455144
87,108746225,2.300793117,45.07,423450251,580087,424030338
88,108906551,1.376320120,75.46,426008476,580411,426588887
89,107076340,3.933047840,25.96,436508752,573460,437082212
90,107699111,2.707047944,37.93,443139776,580929,443720705
91,108084637,2.398194733,42.97,448614343,582369,449196712
92,108444974,2.324243680,44.49,453770400,583501,454353901
93,108792788,2.820917363,36.77,460670572,586115,461256687
94,109684831,2.804805169,37.29,467579109,589934,468169043
95,110100244,2.926823539,35.87,474879890,593873,475473763
96,111923245,3.276694467,32.57,483534739,600283,484135022
97,114880713,2.480963938,44.15,489219520,601612,489821132
98,115263816,2.158179961,50.93,493491868,602680,494094548
99,115332134,2.082810985,52.80,497747278,603785,498351063
100,115475785,1.983099708,55.52,501494388,604825,502099213
1,95072414,5.356199651,16.92,27017233,492181,27509414
2,95172660,1.849694440,49.06,31221788,492512,31714300
3,95633624,2.240386490,40.70,38769577,492738,39262315
4,95710717,1.628170355,56.05,43452998,491707,43944705
5,95767418,1.761048727,51.86,47439749,492387,47932136
6,95874517,1.939497264,47.14,54324656,493071,54817727
7,96031005,1.412305402,64.84,56611673,493465,57105138
8,96073810,1.535001834,59.68,60904004,493787,61397791
9,96156132,.971078860,94.43,61560935,494109,62055044
10,96181716,1.014604320,90.39,62250260,494530,62744790
11,96225095,1.052722743,87.16,63085800,494942,63580742
12,96280016,1.057242790,86.83,64062779,495266,64558045
13,96295453,.910744742,100.82,64544060,495678,65039738
14,96159344,.975217776,94.03,65188989,496002,65684991
15,96211395,.993896231,92.31,65783848,496326,66280174
16,97419644,4.349546514,21.35,80530238,516044,81046282
17,92656128,3.570832186,24.74,92032744,496494,92529238
18,92958211,2.293537174,38.65,98577651,497721,99075372
19,93342477,1.786964410,49.81,102315962,499648,102815610
20,93684968,1.898146777,47.06,106353507,501187,106854694
21,93855134,1.930514513,46.36,110533648,502450,111036098
22,94105945,2.087865523,42.98,115151020,503870,115654890
23,94494954,2.099510724,42.91,119841174,515051,120356225
24,94930340,2.213457545,40.89,124743981,517533,125261514
25,96567704,1.734235410,53.10,127947455,518041,128465496
26,96574342,.963229668,95.61,128423538,518365,128941903
27,96788905,1.780776144,51.83,131663663,519282,132182945
28,97165615,1.398245196,66.26,134990532,519598,135510130
29,97252200,1.376174268,67.38,136699256,519995,137219251
30,97352699,1.215116102,76.40,137708131,519164,138227295
31,97692230,2.300210635,40.50,143071307,520376,143591683
32,97920212,1.658184779,56.31,146223220,520996,146744216
33,97974831,1.585685700,58.92,149024800,521320,149546120
34,98288476,2.147377970,43.64,155739809,522197,156262006
35,98417569,2.372189465,39.56,163644240,522881,164167121
36,98524809,1.885358729,49.83,168055198,526877,168582075
37,98718707,2.064034194,45.60,173006801,530771,173537572
38,98939219,2.379096469,39.65,180798083,531461,181329544
39,99175341,2.120001612,44.61,185767891,532428,186300319
40,99235132,1.164978460,81.22,186829758,532752,187362510
41,99245708,.937341375,100.96,187158860,533164,187692024
42,99616951,1.037903090,91.53,187805125,533488,188338613
43,99673755,.969141197,98.07,188410535,533812,188944347
44,102067239,4.595086220,21.18,203575874,522530,204098404
45,97037979,3.408706054,27.14,211848124,514431,212362555
46,96139199,2.134516907,42.95,216682597,506787,217189384
47,96531666,2.180132418,42.22,221544108,509822,222053930
48,96497220,1.912031929,48.12,225680899,508178,226189077
49,96781557,1.836754071,50.24,230985988,510316,231496304
50,97038998,1.954708947,47.34,235060260,512424,235572684
51,97356817,1.920816235,48.33,239058041,514788,239572829
52,98422334,2.582218319,36.34,245044292,519550,245563842
53,101214785,1.616821620,59.69,247614480,520026,248134506
54,101296041,1.428280079,67.63,249629748,520254,250150002
55,101368542,1.446758906,66.81,251626172,520474,252146646
56,101544694,1.804878766,53.65,254893021,521507,255414528
57,101976969,1.528859606,63.60,256709644,525430,257235074
58,102038483,1.065702455,91.31,257112583,525746,257638329
59,102561389,2.583651153,37.85,263249736,532274,263782010
60,102867616,2.349200349,41.75,268922026,533110,269455136
61,103124716,2.349879860,41.84,274455092,534490,274989582
62,103346421,2.593465979,37.99,281565003,535672,282100675
63,103267224,2.456423705,40.09,289467502,538249,290005751
64,103390545,1.746630596,56.45,293262251,538765,293801016
65,103417233,1.866268376,52.84,296991963,539326,297531289
