Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2532649,.492322419,4.89,767999,108042,876041
2,3142928,.473916141,6.30,1525973,118167,1644140
3,3167216,.419019114,7.20,1990816,118841,2109657
4,3167983,.291733624,10.35,2359440,119331,2478771
5,3183711,.307324203,9.85,2702071,119829,2821900
6,2784073,.370216524,7.15,3177239,112716,3289955
7,2787160,.312319169,8.48,3374113,112950,3487063
8,3197956,.385586193,7.88,3755174,120699,3875873
9,3382358,.402161405,8.00,4322729,123565,4446294
10,3404072,.297632015,10.88,4771294,123970,4895264
11,3224021,.438778755,6.99,5145020,121670,5266690
12,3233356,.358990707,8.57,5536915,121986,5658901
13,3236663,.273279060,11.27,5669086,122310,5791396
14,3294796,.335363948,9.36,6089645,122874,6212519
15,3295068,.266895412,11.76,6226661,123110,6349771
16,3302334,.380760552,8.24,6607162,123434,6730596
17,3294749,.306419618,10.24,6905783,123670,7029453
18,3300186,.322523625,9.73,7197897,124066,7321963
19,3392266,.446370044,7.23,7565245,126094,7691339
20,3843754,.608827484,6.01,8746686,131399,8878085
21,3397020,.562340407,5.74,9133380,126646,9260026
22,3453396,.324433916,10.14,9553985,127058,9681043
23,3470840,.348913517,9.48,9988566,127470,10116036
24,3518664,.329180136,10.17,10438950,128042,10566992
25,3525648,.376990726,8.91,10937210,128446,11065656
26,3575277,.532092249,6.38,11567920,129362,11697282
27,3574473,.343334179,9.90,11947683,129598,12077281
28,3865717,.445162900,8.26,12447613,133791,12581404
29,3968673,.525096634,7.19,13266223,135027,13401250
30,1503895,.369761155,3.86,13645735,95782,13741517
31,1992552,.401222895,4.73,14151179,110155,14261334
32,2532649,.349590085,6.89,14152490,115343,14267833
33,3197956,.317540671,9.57,14153801,126598,14280399
34,3392266,.277400854,11.64,14155113,129634,14284747
35,3865717,.400159245,9.19,14156424,135443,14291867
36,1721621,.347851892,4.71,14652198,107527,14759725
37,1213331,.246686853,4.66,14854169,93865,14948034
38,1725648,.273724024,5.99,15082260,107823,15190083
39,2038112,.292868856,6.62,15330285,113651,15443936
40,2789653,.266437958,9.98,15461601,120823,15582424
41,3301781,.302292557,10.38,15600384,129494,15729878
42,3576601,.370469410,9.20,15889993,133138,16023131
43,1992652,.323365940,5.87,16176327,108755,16285082
44,1563869,.294102950,5.06,16377034,101374,16478408
45,1581556,.242561396,6.18,16544435,102482,16646917
46,6155970,.888831061,6.60,18636202,192117,18828319
47,1289577,.333243684,3.66,18924631,94298,19018929
48,1192592,.273926322,4.12,19182534,93110,19275644
49,1217769,.339502126,3.41,19348223,99913,19448136
50,1531623,.295649852,4.93,19548019,101342,19649361
51,1224559,.238485856,4.86,19679592,100305,19779897
52,1205007,.282186797,4.03,19765557,99669,19865226
53,4365323,.533564499,7.79,20914357,148589,21062946
54,4031337,.503804879,7.62,21482119,141951,21624070
55,4090535,.400172335,9.74,22048675,142971,22191646
56,4418417,.632154221,6.65,23188987,150529,23339516
57,6229166,.662478692,8.96,24978727,190387,25169114
58,6254372,.364981674,16.32,25224989,190975,25415964
59,4455956,.406832901,10.42,25715339,151749,25867088
60,5140197,.795055100,6.16,27027305,167310,27194615
61,5145432,.343183830,14.27,27392127,167546,27559673
62,4928187,.401701396,11.67,28013572,169235,28182807
63,4932535,.325346773,14.44,28343654,169479,28513133
64,4974578,.309831257,15.29,28686496,170827,28857323
65,4977919,.360444872,13.15,28940195,170975,29111170
66,4980576,.314265184,15.08,29092971,171299,29264270
67,4981037,.285777777,16.62,29137451,171535,29308986
68,6260836,.435658333,13.70,29474983,193503,29668486
69,6390362,.895540783,6.80,31364989,196252,31561241
70,6313586,.523063826,11.50,32049894,194951,32244845
71,6318595,.567661373,10.60,32194476,195216,32389692
72,6347171,.831297521,7.27,33647354,196500,33843854
73,6341402,.436358652,13.84,34437900,196024,34633924
74,6347055,.378168052,15.99,34886337,196516,35082853
75,6359818,.437216839,13.86,35303542,197088,35500630
76,6391647,.368258107,16.53,35599082,197628,35796710
77,6391642,.380073357,16.02,35691176,198140,35889316
78,6538345,1.017230261,6.12,37933680,202860,38136540
79,6401540,.559764092,10.89,38781613,199364,38980977
80,6404317,.495096906,12.32,39115906,199480,39315386
81,6434296,.348561014,17.58,39528749,200076,39728825
82,6435221,.323402676,18.95,39877413,200312,40077725
83,6434662,.345279074,17.75,40281484,200724,40482208
84,6436136,.286519963,21.39,40385688,200960,40586648
85,6444754,.377113802,16.28,40595783,201652,40797435
86,6549675,.377996465,16.50,40807123,205524,41012647
87,6556548,.342152157,18.26,41168554,205792,41374346
88,6575834,.922577784,6.79,43310045,206852,43516897
89,6642067,.937378385,6.75,45578193,207160,45785353
90,6661426,.919594235,6.90,47855203,207927,48063130
91,6901603,.953145882,6.90,50238721,210515,50449236
92,6663011,.498435345,12.73,50615087,208479,50823566
93,6670050,.975972365,6.51,52880607,208899,53089506
94,6815532,.412119192,15.74,53579240,209871,53789111
95,6843458,1.018013521,6.40,55880013,210443,56090456
96,6848945,.409479656,15.94,56344983,210679,56555662
97,6925867,1.288821118,5.12,58666281,211931,58878212
98,6936541,.512403260,12.89,59673073,212271,59885344
99,6944582,.374942872,17.65,59958609,212587,60171196
100,4959238,.430141616,10.97,60551469,179576,60731045
1,2532649,.541848797,4.44,767999,108042,876041
2,3142928,.406002830,7.36,1525973,118167,1644140
3,3167216,.282378151,10.69,1990816,118841,2109657
4,3167983,.242766039,12.43,2359440,119331,2478771
5,3183711,.290817880,10.41,2702071,119829,2821900
6,2784073,.303702646,8.72,3177239,112716,3289955
7,2787160,.176982342,14.97,3374113,112950,3487063
8,3197956,.327499867,9.28,3755174,120699,3875873
9,3382358,.271969263,11.83,4322729,123565,4446294
10,3404072,.241745447,13.40,4771294,123970,4895264
11,3224021,.302103748,10.16,5145020,121670,5266690
12,3233356,.269047201,11.44,5536915,121986,5658901
13,3236663,.165024984,18.66,5669086,122310,5791396
14,3294796,.283156996,11.08,6089645,122874,6212519
15,3295068,.170361257,18.43,6226661,123110,6349771
16,3302334,.229321043,13.69,6607162,123434,6730596
17,3294749,.276301777,11.36,6905783,123670,7029453
18,3300186,.199250788,15.75,7197897,124066,7321963
19,3392266,.263633528,12.25,7565245,126094,7691339
20,3843754,.547414991,6.68,8746686,131399,8878085
21,3397020,.279471264,11.55,9133380,126646,9260026
22,3453396,.232500116,14.15,9553985,127058,9681043
23,3470840,.290982419,11.37,9988566,127470,10116036
