Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,32717389,2.304583634,13.53,8915951,167957,9083908
2,29490026,1.351798341,20.80,12439743,161006,12600749
3,56090391,4.075772004,13.12,26470877,729947,27200824
4,55668797,1.432373375,37.05,29131847,727965,29859812
5,55699494,1.343857534,39.52,31627783,728199,32355982
6,55693155,.973916125,54.53,32567271,728433,33295704
7,53406036,1.616012202,31.51,36290856,304813,36595669
8,74382330,4.938008637,14.36,53127927,1083027,54210954
9,75204083,2.354763196,30.45,58607798,1088666,59696464
10,75870097,2.147715993,33.68,63006082,1091111,64097193
11,76290428,2.127135166,34.20,67514262,1093163,68607425
12,76604029,1.570390345,46.51,70379554,1094791,71474345
13,113371107,7.333879309,14.74,95028416,1579107,96607523
14,113745479,3.649926468,29.71,100990014,1588000,102578014
15,113819265,2.551861327,42.53,102893404,1590364,104483768
16,114667348,3.288050590,33.25,108449954,1597928,110047882
17,114899111,3.201920614,34.22,113314950,1603912,114918862
18,115001266,2.990226433,36.67,117272045,1608221,118880266
19,128212133,7.563703224,16.16,142008059,1743041,143751100
20,129641986,3.382848749,36.54,149820546,1754164,151574710
21,129733854,2.534498446,48.81,154393961,1760145,156154106
22,130668145,3.337421015,37.33,160833038,1766781,162599819
23,130784622,2.893134238,43.10,166109863,1771393,167881256
24,130813859,2.135283485,58.42,168868718,1772342,170641060
25,131451629,2.436312973,51.45,172529596,1773986,174303582
26,166821106,11.475696040,13.86,207272708,2439621,209712329
27,164784358,5.389759600,29.15,215325434,2450630,217776064
28,166881977,4.931165761,32.27,221152775,2460252,223613027
29,167442913,5.143848522,31.04,226873055,2466908,229339963
30,168577785,4.463605357,36.01,234506380,2481280,236987660
31,168718757,3.110978890,51.72,238853916,2489752,241343668
32,168241070,2.832228647,56.64,242021601,2269981,244291582
33,198333680,11.151629637,16.96,275320600,2990940,278311540
34,200589575,5.607567565,34.11,286206605,3015288,289221893
35,199835025,6.308780260,30.20,296262825,3041334,299304159
36,199831830,5.160161877,36.93,303873498,2850844,306724342
37,200027076,4.862453105,39.23,309289853,2863994,312153847
38,237233878,14.713736220,15.37,353948148,3466699,357414847
39,238468950,6.611558820,34.39,363648742,3485210,367133952
40,240057729,7.413704419,30.87,375710369,3530851,379241220
41,266028582,12.260571275,20.69,411144115,3986132,415130247
42,267895079,5.835481492,43.78,419692034,3992464,423684498
43,268010507,7.919441672,32.27,436326815,3996996,440323811
44,268216912,5.832032401,43.85,444455233,4002768,448458001
45,265840056,4.419129179,57.36,449249728,4005251,453254979
46,352587918,21.612469809,15.55,509586623,6796350,516382973
47,350653798,7.523191691,44.44,520833648,6815186,527648834
48,350996096,7.140173783,46.87,528756007,6825422,535581429
49,353255236,7.270654593,46.33,536089199,6842450,542931649
50,353438271,6.013301011,56.05,542815988,6856950,549672938
51,353427901,5.747627377,58.64,548564948,6864722,555429670
52,353452954,5.413677464,62.26,552022963,6866550,558889513
53,371780260,20.760941671,17.07,605906433,7307868,613214301
54,372022126,7.383758156,48.04,613526313,7326534,620852847
55,372317542,8.392706222,42.30,621998042,7337715,629335757
56,372581027,6.410330118,55.42,628685261,7357026,636042287
57,372784320,5.768250731,61.63,633938645,7373758,641312403
58,372986229,6.190649426,57.45,640158289,7382555,647540844
59,373087756,5.649851813,62.97,644476619,7387775,651864394
