Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,95072414,5.299971412,17.10,27017233,492181,27509414
2,95172660,1.880020188,48.27,31221788,492512,31714300
3,95633624,2.209120159,41.28,38769577,492738,39262315
4,95710717,1.750688585,52.13,43452998,491707,43944705
5,95767418,1.879858159,48.58,47439749,492387,47932136
6,95874517,2.034534237,44.93,54324656,493071,54817727
7,96031005,1.505755423,60.81,56611673,493465,57105138
8,96073810,1.626005411,56.34,60904004,493787,61397791
9,96156132,.988532332,92.76,61560935,494109,62055044
10,96181716,1.029699406,89.07,62250260,494530,62744790
11,96225095,1.062886591,86.33,63085800,494942,63580742
12,96280016,1.096651450,83.71,64062779,495266,64558045
13,96295453,.952950468,96.36,64544060,495678,65039738
14,96159344,.991894247,92.44,65188989,496002,65684991
15,96211395,.958289813,95.74,65783848,496326,66280174
16,97419644,4.531157121,20.50,80530238,516044,81046282
17,92656128,3.642938123,24.25,92032744,496494,92529238
18,92958211,2.335907228,37.95,98577651,497721,99075372
19,93342477,1.860936393,47.83,102315962,499648,102815610
20,93684968,1.947001231,45.88,106353507,501187,106854694
21,93855134,2.581092799,34.67,110533648,502450,111036098
22,94105945,2.843543500,31.55,115151020,503870,115654890
23,94494954,2.742912232,32.85,119841174,515051,120356225
24,94930340,2.963587772,30.54,124743981,517533,125261514
25,96567704,2.470284654,37.27,127947455,518041,128465496
26,96574342,1.669747749,55.15,128423538,518365,128941903
27,96788905,1.889514583,48.84,131663663,519282,132182945
28,97165615,1.466248182,63.19,134990532,519598,135510130
29,97252200,1.442199208,64.30,136699256,519995,137219251
30,97352699,1.278465212,72.61,137708131,519164,138227295
31,97692230,2.338110030,39.84,143071307,520376,143591683
32,97920212,1.670204875,55.90,146223220,520996,146744216
33,97974831,1.694514773,55.13,149024800,521320,149546120
34,98288476,2.278612010,41.13,155739809,522197,156262006
35,98417569,2.505876552,37.45,163644240,522881,164167121
36,98524809,2.005235093,46.85,168055198,526877,168582075
37,98718707,2.141937560,43.95,173006801,530771,173537572
38,98939219,2.429401787,38.83,180798083,531461,181329544
39,99175341,2.165181561,43.68,185767891,532428,186300319
40,99235132,1.199774262,78.87,186829758,532752,187362510
41,99245708,.926965037,102.09,187158860,533164,187692024
42,99616951,1.069881451,88.79,187805125,533488,188338613
43,99673755,1.092713253,86.98,188410535,533812,188944347
44,102067239,4.678303277,20.80,203575874,522530,204098404
45,97037979,4.407650732,20.99,211848124,514431,212362555
46,96139199,3.146825645,29.13,216682597,506787,217189384
47,96531666,2.965085276,31.04,221544108,509822,222053930
48,96497220,2.759620273,33.34,225680899,508178,226189077
49,96781557,2.695034986,34.24,230985988,510316,231496304
50,97038998,2.048827202,45.16,235060260,512424,235572684
51,97356817,2.041333365,45.48,239058041,514788,239572829
52,98422334,2.662581031,35.25,245044292,519550,245563842
53,101214785,1.700019187,56.77,247614480,520026,248134506
54,101296041,1.483325029,65.12,249629748,520254,250150002
55,101368542,1.540415927,62.75,251626172,520474,252146646
56,101544694,1.911600639,50.65,254893021,521507,255414528
57,101976969,1.592912657,61.05,256709644,525430,257235074
58,102038483,1.059603134,91.83,257108487,525746,257634233
59,102561389,2.735437654,35.75,263245640,532274,263777914
60,102867616,2.412726528,40.65,268917930,533110,269451040
61,103124716,2.460385923,39.96,274455092,534490,274989582
62,103346421,2.696960746,36.54,281565003,535672,282100675
63,103267224,2.539460277,38.77,289467502,538249,290005751
64,103390545,1.803912724,54.65,293262251,538765,293801016
65,103417233,1.964025329,50.21,296991963,539326,297531289
66,103681907,3.056564938,32.34,303630658,542238,304172896
67,103841211,2.847505172,34.77,307163039,543741,307706780
68,103676757,2.909165042,33.98,312869782,545821,313415603
69,103733404,1.853743675,53.36,313404581,546145,313950726
70,107877248,5.020901133,20.48,330151051,566209,330717260
71,98847116,3.994684820,23.59,340411286,516630,340927916
72,99179394,2.786929132,33.93,347345840,532566,347878406
73,99741606,3.133656659,30.35,357105644,538525,357644169
74,100710465,2.843887627,33.77,363914145,543782,364457927
75,101483591,2.542318641,38.06,370053549,548945,370602494
76,102083723,2.464236435,39.50,375688895,555413,376244308
77,103291730,2.924403695,33.68,382634070,563395,383197465
78,103535601,2.490465124,39.64,387921844,565489,388487333
79,103459036,1.976037046,49.92,392900311,566786,393467097
80,103661012,2.586334690,38.22,396078267,567502,396645769
81,103699369,2.768151442,35.72,398908821,569759,399478580
82,106364240,2.549819273,39.77,401297528,571288,401868816
83,107868656,1.981095584,51.92,401681102,569085,402250187
84,108379556,3.001268659,34.43,407698410,574272,408272682
85,108594291,2.070751583,50.01,411892775,575917,412468692
86,108507728,2.417676838,42.80,416876365,578779,417455144
87,108746225,2.353402850,44.06,423450251,580087,424030338
88,108906551,1.421648841,73.05,426008476,580411,426588887
89,107076340,4.059718533,25.15,436508752,573460,437082212
90,107699111,2.840111404,36.16,443139776,580929,443720705
91,108084637,2.502262601,41.19,448614343,582369,449196712
92,108444974,2.303600317,44.89,453770400,583501,454353901
93,108792788,2.792089805,37.15,460670572,586115,461256687
94,109684831,2.846068153,36.75,467579109,589934,468169043
95,110100244,2.807871419,37.39,474879890,593873,475473763
96,111923245,3.200126580,33.35,483534739,600283,484135022
97,114880713,2.459639085,44.53,489219520,601612,489821132
98,115263816,2.921452735,37.62,493491868,602680,494094548
99,115332134,2.701808382,40.70,497747278,603785,498351063
100,115475785,2.791178242,39.45,501494388,604825,502099213
